studentId,class
1,1I
2,10B
3,4Q
4,9H
5,11T
6,6R
7,7J
8,1G
9,1M
10,3C
11,5T
12,4U
13,11P
14,2K
15,5Y
16,5T
17,4I
18,9Z
19,6W
20,5X
21,9K
22,10I
23,6E
24,4F
25,7Y
26,11B
27,4D
28,11H
29,11B
30,2N
31,2O
32,3H
33,11O
34,11I
35,2Y
36,7J
37,4S
38,9W
39,10E
40,1J
41,6J
42,6F
43,6D
44,11P
45,4F
46,11W
47,12Z
48,8U
49,9F
50,2X
51,2B
52,5U
53,2C
54,5K
55,1T
56,1O
57,4X
58,1H
59,12G
60,6Z
61,9Y
62,10Q
63,7P
64,3J
65,9F
66,5D
67,8X
68,3M
69,12P
70,2U
71,5W
72,7K
73,6D
74,7N
75,8Z
76,12C
77,3A
78,7Y
79,9W
80,4A
81,4E
82,10T
83,6O
84,4P
85,4D
86,2H
87,12U
88,4V
89,4F
90,10F
91,12I
92,7B
93,2R
94,10H
95,12B
96,1V
97,8K
98,2N
99,1X
100,10V
101,9A
102,6H
103,4M
104,11T
105,10Y
106,7W
107,12B
108,11R
109,4U
110,3P
111,7Z
112,6L
113,9L
114,3S
115,9K
116,2D
117,7G
118,6B
119,11P
120,11C
121,6S
122,2N
123,2E
124,10T
125,12V
126,9K
127,6G
128,7F
129,12Y
130,10C
131,4Z
132,1H
133,5E
134,12A
135,11Q
136,6T
137,7E
138,9J
139,2C
140,9R
141,2Z
142,3M
143,3V
144,12V
145,9Y
146,8F
147,7P
148,2U
149,10R
150,1Y
151,11W
152,7I
153,12C
154,5W
155,6E
156,2T
157,1Z
158,12N
159,12F
160,8J
161,5T
162,5K
163,8N
164,9M
165,4Y
166,8A
167,7A
168,8J
169,2U
170,12C
171,5O
172,7P
173,3L
174,2G
175,3W
176,9I
177,1A
178,4U
179,1Z
180,6A
181,11T
182,3R
183,6A
184,11S
185,10F
186,5E
187,3V
188,8G
189,12Y
190,3I
191,9Q
192,1R
193,1Z
194,12A
195,8S
196,11B
197,4G
198,1S
199,1A
200,6V
201,11S
202,11Z
203,6V
204,2I
205,7I
206,10P
207,2C
208,2U
209,8F
210,8M
211,7M
212,3U
213,8M
214,2M
215,1E
216,6X
217,7O
218,5I
219,11Q
220,11R
221,12B
222,1C
223,11K
224,6N
225,2L
226,6N
227,3O
228,11S
229,5I
230,5Y
231,8Y
232,2L
233,7N
234,12B
235,3J
236,4P
237,6E
238,1V
239,8Y
240,2J
241,9V
242,1I
243,4B
244,3C
245,2U
246,8G
247,4C
248,2L
249,2P
250,11J
251,4E
252,6N
253,1P
254,8U
255,7L
256,1M
257,9N
258,4P
259,9V
260,2R
261,1F
262,2L
263,5H
264,8E
265,7T
266,10Q
267,10B
268,11B
269,8E
270,9X
271,7A
272,1K
273,10C
274,8C
275,3Z
276,4O
277,4G
278,2J
279,6G
280,12B
281,3S
282,7J
283,1Y
284,3M
285,5B
286,10N
287,11E
288,5F
289,8A
290,3T
291,8E
292,6Q
293,7E
294,2E
295,8E
296,10A
297,10W
298,12A
299,12T
300,3E
301,8I
302,7S
303,2Q
304,3K
305,1K
306,5N
307,5U
308,8C
309,10G
310,9N
311,8P
312,4Z
313,12A
314,12K
315,6L
316,10B
317,4M
318,2N
319,5S
320,3Q
321,3P
322,5C
323,4Y
324,10R
325,11E
326,5N
327,2P
328,12X
329,8Y
330,3L
331,8T
332,12J
333,4Z
334,9F
335,3H
336,2S
337,12C
338,11T
339,7O
340,4Q
341,8N
342,3E
343,7P
344,1G
345,9U
346,7O
347,6M
348,1F
349,10F
350,1E
351,9F
352,4H
353,5N
354,9O
355,3F
356,6N
357,2S
358,1F
359,4B
360,6E
361,8P
362,11W
363,3E
364,8U
365,3W
366,4V
367,11D
368,4G
369,3J
370,8X
371,12T
372,10V
373,3N
374,7U
375,6E
376,12M
377,2I
378,8J
379,11A
380,7A
381,10E
382,9C
383,7G
384,1F
385,3R
386,11N
387,7M
388,11Q
389,8Q
390,5R
391,8Y
392,7E
393,6R
394,10C
395,4X
396,11H
397,3J
398,5Y
399,9W
400,9S
401,11I
402,10S
403,2H
404,9E
405,6H
406,3O
407,4J
408,6Y
409,6Q
410,5M
411,5B
412,1U
413,1O
414,7U
415,9O
416,5Z
417,7T
418,1H
419,1Q
420,6N
421,5R
422,4Q
423,1W
424,9J
425,5Q
426,4R
427,11T
428,8Y
429,4W
430,11X
431,12E
432,1T
433,10J
434,11X
435,12F
436,3J
437,3W
438,4O
439,12X
440,6R
441,1B
442,3N
443,6F
444,9P
445,8V
446,11P
447,12E
448,5M
449,12C
450,10A
451,11E
452,3T
453,7S
454,3B
455,1A
456,7M
457,10W
458,4Q
459,10M
460,8Z
461,12V
462,11T
463,9T
464,6P
465,6Y
466,11E
467,1V
468,3L
469,1Z
470,5H
471,8B
472,6K
473,2P
474,5C
475,8T
476,2T
477,1S
478,3K
479,3Z
480,5A
481,5B
482,1Q
483,4S
484,3S
485,7R
486,6U
487,7G
488,1X
489,1K
490,10D
491,5R
492,3T
493,4H
494,8M
495,3G
496,4Y
497,10X
498,9Z
499,2F
500,3F
501,2O
502,2L
503,5M
504,4C
505,1B
506,4B
507,5O
508,6I
509,6F
510,7O
511,2T
512,9V
513,1W
514,4F
515,9M
516,6X
517,7K
518,7T
519,7E
520,9E
521,10Z
522,8C
523,10G
524,12D
525,8X
526,12O
527,8S
528,1W
529,10A
530,7U
531,9V
532,7J
533,4L
534,5Y
535,2R
536,7B
537,3I
538,10F
539,11E
540,4Z
541,6I
542,2Z
543,3A
544,11T
545,10K
546,10V
547,12J
548,6W
549,7B
550,1Q
551,5Z
552,3B
553,10N
554,7Z
555,4E
556,1U
557,9Q
558,4T
559,6G
560,2L
561,2J
562,12D
563,6G
564,6A
565,5D
566,9P
567,5C
568,9O
569,7M
570,4E
571,3V
572,10M
573,7O
574,9R
575,5U
576,5H
577,6W
578,4G
579,8T
580,2R
581,11S
582,3A
583,3Q
584,11T
585,11G
586,5G
587,2K
588,6A
589,9S
590,11W
591,8X
592,4A
593,8Q
594,1O
595,11O
596,9M
597,1A
598,4G
599,11M
600,11Z
601,5H
602,10V
603,5Z
604,7R
605,3V
606,5T
607,11P
608,10Z
609,7I
610,3O
611,12I
612,7I
613,11T
614,7Q
615,10D
616,12I
617,8C
618,3E
619,1Z
620,8C
621,5C
622,3G
623,10U
624,3S
625,9B
626,10D
627,9W
628,6M
629,11E
630,7G
631,10T
632,3J
633,11H
634,5Q
635,1H
636,7U
637,11N
638,10Y
639,9M
640,9A
641,10W
642,11T
643,2Q
644,5C
645,11L
646,9O
647,11C
648,9O
649,8Q
650,11H
651,7D
652,5O
653,12X
654,4N
655,4M
656,8K
657,8I
658,6Y
659,8E
660,12U
661,1F
662,5H
663,4D
664,10R
665,8D
666,10Y
667,6E
668,2P
669,8P
670,4I
671,2W
672,3D
673,4G
674,4S
675,7U
676,6I
677,12X
678,3C
679,4V
680,12R
681,3G
682,1V
683,5Y
684,2H
685,5V
686,10H
687,4I
688,8D
689,9S
690,10M
691,9S
692,4G
693,12P
694,6O
695,8M
696,4Y
697,2T
698,3M
699,10P
700,1M
701,5N
702,5H
703,9A
704,11K
705,7T
706,6Y
707,10F
708,11R
709,10D
710,7J
711,4U
712,10I
713,1A
714,11W
715,2S
716,3A
717,8D
718,8F
719,12W
720,12Q
721,5U
722,9E
723,7S
724,6K
725,6H
726,8Y
727,11N
728,10E
729,12O
730,8G
731,12Y
732,2X
733,6H
734,5A
735,2V
736,6V
737,2F
738,7T
739,1P
740,1Y
741,11J
742,12C
743,8A
744,6M
745,7Y
746,8T
747,2X
748,5S
749,2T
750,10A
751,6L
752,2W
753,7T
754,12R
755,6K
756,4J
757,11G
758,3N
759,3S
760,9L
761,8H
762,8P
763,3B
764,11P
765,7Q
766,9W
767,7I
768,6E
769,11V
770,7A
771,5M
772,9U
773,8B
774,5P
775,6V
776,11O
777,10O
778,11F
779,1L
780,12A
781,4G
782,2F
783,10C
784,5E
785,1U
786,7W
787,11T
788,10J
789,6G
790,5F
791,2L
792,3J
793,10S
794,1S
795,3D
796,12J
797,4Z
798,8R
799,9N
800,9U
801,8X
802,12N
803,7P
804,8A
805,12G
806,7Z
807,9G
808,6F
809,11O
810,1R
811,4K
812,2Q
813,2D
814,6T
815,3M
816,9J
817,1H
818,2D
819,10F
820,7O
821,2O
822,3S
823,10H
824,6B
825,5R
826,4O
827,3Q
828,8P
829,4R
830,9X
831,9U
832,10X
833,12B
834,5E
835,5R
836,3X
837,7S
838,11U
839,5J
840,5M
841,1K
842,9I
843,3R
844,6I
845,6W
846,5V
847,8R
848,12Y
849,3L
850,8B
851,5X
852,6D
853,10M
854,8C
855,12E
856,8V
857,7J
858,7L
859,7E
860,11X
861,8W
862,3I
863,10T
864,9M
865,8R
866,9S
867,8X
